File Name,Term
0000_LSC - Vaga.mp4,Vaga
0001_LSC - Manifestació.mp4,Manifestació
0002_LSC - Copiar.mp4,Copiar
0003_LSC - Becari ⧸ Becària.mp4,Becari ⧸ Becària
0004_LSC - Fuster.mp4,Fuster
0005_LSC -  Horari.mp4,Horari
0006_LSC - Impremta.mp4,Impremta
0007_LSC - Jardiner.mp4,Jardiner
0008_LSC - Jutge.mp4,Jutge
0009_LSC -  Lampista.mp4,Lampista
0010_LSC - Mecànic.mp4,Mecànic
0011_LSC - Pintor (1).mp4,Pintor (1)
0012_LSC - Pintor (2).mp4,Pintor (2)
0013_LSC - Professió.mp4,Professió
0014_LSC - Secretari.mp4,Secretari
0015_LSC - Sou.mp4,Sou
0016_LSC - Taller.mp4,Taller
0017_LSC - Venedor.mp4,Venedor
0018_LSC -  Xarxa de pescar.mp4,Xarxa de pescar
0019_LSC - Biblioteca.mp4,Biblioteca
0020_LSC - Feina.mp4,Feina
0021_LSC - Pescador.mp4,Pescador
0022_LSC - Pic.mp4,Pic
0023_LSC - Administratiu.mp4,Administratiu
0024_LSC -  Advocat.mp4,Advocat
0025_LSC  - Alicates.mp4,Alicates
0026_LSC - Atur.mp4,Atur
0027_LSC - Bomber.mp4,Bomber
0028_LSC  - Cambrer.mp4,Cambrer
0029_LSC - Comptable.mp4,Comptable
0030_LSC - Cuiner.mp4,Cuiner
0031_LSC - Dependent.mp4,Dependent
0032_LSC - Despatx.mp4,Despatx
0033_LSC - Director.mp4,Director
0034_LSC - Electricista.mp4,Electricista
0035_LSC - Estanc.mp4,Estanc
0036_LSC - Fabrica 1.mp4,Fabrica 1
0037_LSC - Fabrica 2.mp4,Fabrica 2
0038_LSC - Notari.mp4,Notari
0039_LSC - Obres.mp4,Obres
0040_LSC - Oficina.mp4,Oficina
0041_LSC - Pagès.mp4,Pagès
0042_LSC - Pala.mp4,Pala
0043_LSC -  Paleta (eina).mp4,Paleta (eina)
0044_LSC - Paleta (ofici).mp4,Paleta (ofici)
0045_LSC - Perruquer.mp4,Perruquer
0046_LSC - Dofí.mp4,Dofí
0047_LSC - Ocell.mp4,Ocell
0048_LSC - Paó.mp4,Paó
0049_LSC - Papallona.mp4,Papallona
0050_LSC - Peix 2.mp4,Peix 2
0051_LSC - Peix.mp4,Peix
0052_LSC - Pingüí.mp4,Pingüí
0053_LSC - Pop.mp4,Pop
0054_LSC - Porc senglar.mp4,Porc senglar
0055_LSC - Porc.mp4,Porc
0056_LSC - Ovella 2.mp4,Ovella 2
0057_LSC - Ovella.mp4,Ovella
0058_LSC - Ós 2.mp4,Ós 2
0059_LSC - Ós 1.mp4,Ós 1
0060_LSC - Mussol.mp4,Mussol
0061_LSC - Mosquit.mp4,Mosquit
0062_LSC - Mosca.mp4,Mosca
0063_LSC - Mico.mp4,Mico
0064_LSC - Mico 2.mp4,Mico 2
0065_LSC - Lloro.mp4,Lloro
0066_LSC - Lleó.mp4,Lleó
0067_LSC - Llangardaix.mp4,Llangardaix
0068_LSC - Cangur.mp4,Cangur
0069_LSC - Guepard.mp4,Guepard
0070_LSC - Granota 3.mp4,Granota 3
0071_LSC - Granota.mp4,Granota
0072_LSC - Brau Toro.mp4,Brau Toro
0073_LSC -  Animal salvatge.mp4,Animal salvatge
0074_LSC - Animal.mp4,Animal
0075_LSC - Ànec.mp4,Ànec
0076_LSC - Ànec 2.mp4,Ànec 2
0077_LSC - Balena.mp4,Balena
0078_LSC - Àliga.mp4,Àliga
0079_LSC - Animal domèstic.mp4,Animal domèstic
0080_LSC - Cabra.mp4,Cabra
0081_LSC - Ase.mp4,Ase
0082_LSC - Aranya.mp4,Aranya
0083_LSC -  Zebra.mp4,Zebra
0084_LSC - Vaca.mp4,Vaca
0085_LSC -  Xai.mp4,Xai
0086_LSC - Abella.mp4,Abella
0087_LSC - Gall 1.mp4,Gall 1
0088_LSC - Camell.mp4,Camell
0089_LSC - Cargol 1.mp4,Cargol 1
0090_LSC - Cargol 2.mp4,Cargol 2
0091_LSC - Cavall.mp4,Cavall
0092_LSC - Cocodril.mp4,Cocodril
0093_LSC - Colom 2.mp4,Colom 2
0094_LSC - Colom.mp4,Colom
0095_LSC - Conill.mp4,Conill
0096_LSC - Cranc.mp4,Cranc
0097_LSC - Elefant.mp4,Elefant
0098_LSC - Esquirol.mp4,Esquirol
0099_LSC - Estruç.mp4,Estruç
0100_LSC - Foca.mp4,Foca
0101_LSC - Gall 2.mp4,Gall 2
0102_LSC - Gall 3.mp4,Gall 3
0103_LSC - Gall d'indi.mp4,Gall d'indi
0104_LSC - Gallina.mp4,Gallina
0105_LSC - Gat.mp4,Gat
0106_LSC - Gos.mp4,Gos
0107_LSC - Granota 2.mp4,Granota 2
0108_LSC - Guineu.mp4,Guineu
0109_LSC - Hipopòtam.mp4,Hipopòtam
0110_LSC -  Peix 3.mp4,Peix 3
0111_LSC - Rata.mp4,Rata
0112_LSC - Ratolí.mp4,Ratolí
0113_LSC - Ratpenat.mp4,Ratpenat
0114_LSC - Rinoceront.mp4,Rinoceront
0115_LSC - Serp.mp4,Serp
0116_LSC - Tauró.mp4,Tauró
0117_LSC - Tigre.mp4,Tigre
0118_LSC - Vespa.mp4,Vespa
0119_LSC - Canari.mp4,Canari
0120_LSC - Mamífer.mp4,Mamífer
0121_LSC - Periquito.mp4,Periquito
0122_LSC - Ajuntament.mp4,Ajuntament
0123_LSC  -  Carnet de conduir.mp4,Carnet de conduir
0124_LSC  -  Carnet d'identitat.mp4,Carnet d'identitat
0125_LSC  -  Comissaria.mp4,Comissaria
0126_LSC -  Fiscal.mp4,Fiscal
0127_LSC  -  Judici.mp4,Judici
0128_LSC -  Passaport.mp4,Passaport
0129_LSC -  Presó.mp4,Presó
0130_LSC - Alcalde.mp4,Alcalde
0131_LSC -  Internacional 1.mp4,Internacional 1
0132_LSC - Llei.mp4,Llei
0133_LSC - Referèndum.mp4,Referèndum
0134_LSC- - Llibertat.mp4,- Llibertat
0135_LSC - Jutjat.mp4,Jutjat
0136_LSC - Internacional 2.mp4,Internacional 2
0138_LSC - Independència Autonomia.mp4,Independència Autonomia
0139_LSC - Himne.mp4,Himne
0140_LSC - Guardia urbana.mp4,Guardia urbana
0141_LSC - Govern.mp4,Govern
0142_LSC - Generalitat.mp4,Generalitat
0143_LSC - Funcionari.mp4,Funcionari
0144_LSC - Eleccions.mp4,Eleccions
0145_LSC - Diputat Diputada.mp4,Diputat Diputada
0146_LSC - Departament Conselleria.mp4,Departament Conselleria
0147_LSC - Democràcia.mp4,Democràcia
0148_LSC - Contracte.mp4,Contracte
0149_LSC - Conseller.mp4,Conseller
0150_LSC -  Carta.mp4,Carta
0151_LSC - Bandera.mp4,Bandera
0152_LSC -  Associació.mp4,Associació
0153_LSC - Assamblea.mp4,Assamblea
0154_LSC - Concertat ⧸ Concertada.mp4,Concertat ⧸ Concertada
0156_LSC - Parlament.mp4,Parlament
0157_LSC - Ordre.mp4,Ordre
0158_LSC - Política.mp4,Política
0159_LSC - Privat ⧸ Privada.mp4,Privat ⧸ Privada
0161_LSC - Banc (1).mp4,Banc (1)
0162_LSC - Deute.mp4,Deute
0163_LSC - Floristeria.mp4,Floristeria
